budget,revenue,popularity,runtime,vote_average,title,genres,success,roi
57755036,107323371,60.3773601820793,98,6.611888117846714,Movie 1,Romance,0,1.8582513047000784
192100010,342896533,86.28985701546246,96,7.184686968985837,Movie 2,Drama,1,1.7849896676215686
128521863,253206827,86.99532434251914,148,3.5429778665752005,Movie 3,Comedy,1,1.9701459431847796
156299516,89635602,72.71009622662443,118,5.985175896164717,Movie 4,Drama,0,0.57348611367421
148532820,221133868,74.82958452853647,161,4.578480179545145,Movie 5,Comedy,1,1.488787919060582
134224038,270524761,56.234817069919366,150,7.346318135988268,Movie 6,Romance,1,2.0154717815895244
36788921,73368473,58.88214092641665,160,4.137333051221643,Movie 7,Adventure,0,1.994308911642176
134120466,332939335,14.231407559641282,118,8.353427493228638,Movie 8,Action,1,2.4823902341645607
161953558,346179511,44.94205965370881,115,5.585648019109962,Movie 9,Horror,1,2.137523344809751
94410762,281375537,45.626852104750014,119,4.188018181845321,Movie 10,Horror,1,2.980333290816994
92090292,111395762,95.89128573110628,124,5.628130778101976,Movie 11,Action,0,1.2096363208404204
166850211,233236168,43.677599399705656,83,5.452462576851167,Movie 12,Horror,1,1.3978775729567403
77737383,113466874,55.38492184537301,104,5.573513756962262,Movie 13,Horror,0,1.45961787779761
112190146,290571935,64.03940998738838,109,6.127042349481226,Movie 15,Adventure,1,2.589995158754852
89409749,97410154,75.07505030185769,155,3.898662790085416,Movie 16,Drama,0,1.0894802310651828
140199233,342086201,23.27914574091634,147,3.393474435879818,Movie 17,Animation,1,2.440000516978577
149171095,225736957,53.343717490745135,167,7.376492692359243,Movie 18,Action,1,1.513275457286145
86652971,173707878,82.76585302428701,108,6.358304615569881,Movie 19,Romance,1,2.0046384560778647
5521373,11491917,46.84835666991364,152,5.154004608475582,Movie 20,Comedy,0,2.0813513233030987
107683173,154215397,28.56729709098373,147,7.850146934988443,Movie 21,Horror,1,1.4321215906221485
107328085,164488655,82.55297218411317,103,7.775790537603645,Movie 23,Thriller,1,1.5325779361478404
31349564,21092988,7.250888999811741,93,4.834536765074248,Movie 24,Horror,0,0.6728319411395961
100052376,159374777,77.90225785731549,148,3.4370717852711987,Movie 25,Comedy,1,1.5929134656432349
178077808,132397908,82.34314536321534,97,8.595838162799573,Movie 26,Science Fiction,0,0.743483477739124
107406362,162457707,46.69076983127207,121,5.367306775688239,Movie 27,Drama,1,1.512551993893993
107777086,213646086,98.34726002502828,136,7.756155437096267,Movie 28,Adventure,1,1.9822959956441948
63250665,123246276,78.8841257300236,162,4.674864799333827,Movie 29,Animation,0,1.948537236723124
182009883,392513995,77.59259392467091,91,6.878190672741936,Movie 30,Science Fiction,1,2.1565531966195484
156716283,115680715,75.0360188667951,161,8.239865239546369,Movie 31,Thriller,0,0.7381537692544686
195438926,416345129,15.910202218609124,96,3.249864134039882,Movie 32,Adventure,1,2.1303081096546754
80757501,103399493,22.50585775884807,109,7.983814588116536,Movie 33,Animation,0,1.2803701417159998
121716221,182284021,46.93502301497808,167,6.427998029831572,Movie 34,Science Fiction,1,1.4976148577600024
53286002,27845986,42.10885626107,178,6.138948004835896,Movie 36,Animation,0,0.5225760041070449
33049003,65140628,88.95794688236914,102,8.246850619701855,Movie 37,Science Fiction,0,1.9710315618295655
62136438,124073104,82.60836229604766,160,3.260600143413825,Movie 38,Animation,0,1.9967849460569336
197412659,294470482,63.37394796951824,80,4.5661703492150885,Movie 39,Animation,1,1.4916494387525574
129482111,141468223,85.95391903085925,158,8.254575233154931,Movie 40,Science Fiction,0,1.0925696368975637
126683192,137664736,78.59346651270768,111,7.514074215191735,Movie 41,Romance,0,1.0866850907893133
194466162,526862150,43.46950825224816,88,3.105870961071635,Movie 42,Animation,1,2.7092741718222424
196524628,315434003,20.90545005294457,94,6.102037699258252,Movie 43,Action,1,1.6050609341440911
56831368,75427921,51.90590296092458,107,6.177436084276049,Movie 44,Action,0,1.3272233918423362
11959014,19396850,73.88665937032646,103,5.405292810767462,Movie 45,Horror,0,1.6219439161121476
57972561,126001970,44.20554027422971,139,4.784359992371938,Movie 46,Adventure,0,2.1734760001373754
49900483,43133549,67.01041906860583,114,7.090349102474052,Movie 47,Romance,0,0.8643914128045614
21193880,34410056,10.33841520281332,165,4.246742788228523,Movie 48,Drama,0,1.6235845442174817
121826171,239962340,75.05246890076894,106,7.793691372430237,Movie 49,Romance,1,1.9697109252493867
4385357,12592370,81.45864836941314,162,7.81822296460483,Movie 50,Animation,0,2.871458355613921
45738553,51744914,70.97694772227358,155,5.491568625436923,Movie 51,Horror,0,1.1313194363625805
69574553,97274052,96.75909516511018,99,4.701288065457886,Movie 52,Romance,0,1.3981268697479092
152063092,220247646,82.8385536886034,144,4.703269089544279,Movie 53,Adventure,1,1.4483964721695912
187375041,377344363,90.40627905977728,164,5.89374794397726,Movie 54,Horror,1,2.0138453925675197
89883975,164827418,80.33345119550705,80,5.153212145963153,Movie 56,Thriller,1,1.833779803352044
148697582,364974620,67.75162535864341,89,6.660260072746509,Movie 57,Action,1,2.454475823285412
148405005,335909384,1.5661395547181396,126,5.294906763495566,Movie 58,Horror,1,2.263463984924228
69979792,113081858,47.11674956908934,138,4.8271391349083,Movie 59,Comedy,0,1.6159216077692828
38709731,102988804,57.54506756361374,175,3.1491570954947647,Movie 60,Thriller,0,2.660540420701968
162156967,307344308,31.09899697235196,141,3.023484634412344,Movie 61,Action,1,1.895350620365266
24027075,44444432,32.492340243443735,165,4.363246066992026,Movie 62,Thriller,0,1.8497645676804189
87191493,51047952,96.15478215530636,97,5.438437720805973,Movie 63,Adventure,0,0.5854694104159909
88796277,263434796,89.27937565507185,125,8.107567004172362,Movie 64,Drama,1,2.9667324453253823
138802430,87340331,2.35615649048254,171,4.467242657905796,Movie 67,Comedy,0,0.6292420889173194
108944665,115672318,31.90744045354276,118,5.035424043173202,Movie 69,Animation,0,1.0617529366857936
53631083,50950928,2.558548386572021,128,5.9891923173701125,Movie 70,Animation,0,0.9500260884159284
9585377,6914785,2.697828409604613,172,5.632006632189453,Movie 71,Drama,0,0.72138894484797
87544585,66382641,91.74372686259868,161,4.309639192688962,Movie 72,Romance,0,0.7582723820096925
86157821,169013794,70.90969170978636,123,3.782708459661708,Movie 73,Animation,1,1.961676746676312
153041741,339832195,31.586643016747114,151,3.075466874917172,Movie 74,Animation,1,2.22051966201822
171819422,256603281,14.131813182494364,133,3.923779431999023,Movie 75,Horror,1,1.493447469518318
61304654,104202138,51.65193607161263,174,7.23213822116471,Movie 76,Romance,0,1.699742698164482
112636935,249481725,1.529269924582081,113,4.4618314160734975,Movie 77,Science Fiction,1,2.214919333520572
35119117,19085465,93.90296064195626,150,5.811610860729059,Movie 78,Thriller,0,0.5434494551785001
37433622,48956688,42.06669681950577,115,6.547806893539468,Movie 79,Science Fiction,0,1.3078266377749928
90482491,265362016,40.831160568495946,97,8.321045416989643,Movie 80,Romance,1,2.932744369294608
195249720,380791736,39.66876715059644,117,8.333130590360517,Movie 81,Romance,1,1.9502805740259197
102670589,116588762,7.863504708388711,138,7.474402402088154,Movie 82,Drama,0,1.135561441066633
56105831,101233160,64.19390173939084,88,3.2109419522910088,Movie 83,Drama,0,1.8043251155125035
138584340,188008188,73.56735834320698,152,6.450422514512489,Movie 84,Science Fiction,1,1.356633714891596
59743503,109367201,67.93641436124074,151,7.719500824989039,Movie 85,Drama,0,1.8306124600695075
92693393,75485214,14.705113839610036,130,3.10372826858018,Movie 86,Animation,0,0.8143537695291831
171476398,142631775,58.30517663552367,114,6.29810768193947,Movie 87,Romance,0,0.8317866287347604
70739572,60755099,57.37896393305313,161,8.146584874716176,Movie 88,Romance,0,0.8588559031711416
105157975,299652852,86.97266800619683,84,5.844612455053602,Movie 89,Horror,1,2.849549470689218
191066585,445614526,38.533638179189055,93,3.024637217384691,Movie 90,Drama,1,2.3322472948370327
120208152,108903144,37.77710842228399,171,3.0660801500136445,Movie 91,Animation,0,0.9059547309237396
133862715,129963656,62.23417881310037,109,5.499816224482503,Movie 92,Animation,0,0.9708727034260436
192273147,447433781,63.67419269645179,83,3.930052004500528,Movie 93,Comedy,1,2.3270736864779145
184378299,164172209,47.45923750525325,118,6.986703942559558,Movie 94,Adventure,1,0.8904096083455028
112665644,122400319,44.86287687071169,163,7.252795589436924,Movie 95,Romance,0,1.0864032251038305
69394024,201823295,49.92061939315038,143,4.067278772763771,Movie 96,Comedy,1,2.908367080715769
199743196,227360951,86.24348465082788,104,8.33119973114691,Movie 97,Comedy,1,1.1382663117095613
52757120,155452980,94.05324740501244,155,3.8570754455515424,Movie 99,Science Fiction,1,2.9465782059369428
68157848,97857079,50.89637259603628,145,7.585509588416373,Movie 100,Animation,0,1.435741911921867
96540567,52497792,94.97086862490823,157,7.739847000100637,Movie 101,Romance,0,0.5437899696611478
86390464,95925226,83.4503582850385,101,6.835772835992745,Movie 102,Action,0,1.1103682230483216
49170987,126723122,36.88070093896708,110,8.12079331921532,Movie 103,Thriller,0,2.5771929695045577
187780295,499781403,86.50050070836498,102,7.424237832184028,Movie 104,Romance,1,2.661522088885844
24717335,59848043,11.896265135910406,127,8.293234423361945,Movie 105,Science Fiction,0,2.421298372174832
61472382,48119016,92.57967035895844,99,5.603328290912877,Movie 106,Comedy,0,0.78277454743823
